Title,Subtitle,Author,Format,Formats Owned
A is for Alibi,A Kinsey Millhone Mystery (Kinsey Millhone Alphabet series Book 1),Sue Grafton,Kindle,1
"A Killer Thriller Collection - Eight The Hard Way (Mystery Thriller Suspense) Nick Stephenson, Ryan King, Kay Hadashi, Alan McDermott, Micheal Maxwell, R.S. Guthrie, Robert",,Swartwood,Kindle,1
A Killing Truth,A Leine Basso Thriller,D.V. Berkom,Kindle,1
A Little Happier,Notes for reassurance,Derren Brown,"Kindle, Audible",2
A Little History of the World (Little Histories),,E. H. Gombrich,Physical,1
A Manual for Living (Little Book of Wisdom (Harper San Francisco)),,Epictetus,Physical,1
A Moment in Berlin and Other Stories lan,,Hocking,Kindle,1
A More Complete Beast,,Jack Donovan,Physical,1
A New Stoicism,,Lawrence C. Becker,Physical,1
A Parade of Horribles,"Dungeon Crawler Carl, Book 8",Matt Dinniman,"Kindle, Audible",2
A Philosopher's Notes,"On Optimal Living, Creating an Authentically Awesome Life and Other Such Goodness, Vol. 1",Brian Johnson,Physical,1
A Prosecutor for the Defense (David Brunelle Legal Thriller Series Book 4),,Stephen Penner,Kindle,1
A Quantum Murder (Greg Mandel),,Peter F. Hamilton,Physical,1
A Rumor Of War,,Philip Caputo,Physical,1
A Short Book about Drawing,,Andrew Marr,Physical,1
A Short History of Europe,From Pericles to Putin,Simon Jenkins,Kindle,1
A Short History of the World in 50 Lies,,Natasha Tidd,Physical,1
A Short Walk in the Hindu Kush,,Eric Newby,Physical,1
A Short War and Peace,Journeys with and without a rifle,Simon Vincent,Kindle,1
A Spy Among Friends,Kim Philby and the Great Betrayal,Ben Macintyre,Physical,1
A Spy by Nature,A gripping novel of political espionage novel (Alec Milius Book 1),Charles Cumming,Kindle,1
A Tale of Two Cities (Collector's Library),,Charles Dickens,Physical,1
A Terminal Agenda,A Nick Severance suspense thriller (The Severance Series Book 1),Mark McKay,Kindle,1
A Thin Veil,Book 2 in the Adam Kaminski Mystery Series,Jane Gorman,Kindle,1
A Walk In The Woods,The World's Funniest Travel Writer Takes a Hike (Bryson Book 8),Bill Bryson,Kindle,1
"A Wanted Man (Jack Reacher, Book 17)",,Lee Child,Kindle,1
A World Without Email,Find Focus and Transform the Way You Work Forever (from the NYT bestselling productiv...,Cal Newport,"Kindle, Audible",2
A Year to Change Your Mind,Ideas from the Therapy Room to Help You Live Better,Lucy Maddox,"Kindle, Audible",2
A-Z London,,Geographers' A-Z Map Company,Physical,1
A.1. Apocalypse (Singularity Series Book 2),,William Hertling,Kindle,1
Abaddon's Gate,Book 3 of the Expanse (now a Prime Original series),James S. A. Corey,Kindle,1
Abandoned,(Toy Soldiers Book 3),Devon C. Ford,Kindle,1
Absolute DC,The New Frontier 15th Anniversary Edition,Darwyn Cooke,Physical,1
Accelerando,,Charles Stross,Kindle,1
Accounting for Non-Financial Professionals,A Practical Guide (Management Book 7),Sorin Dumitrascu,Kindle,1
Achieving Productivity,A Practical Guide,Sorin Dumitrascu,Kindle,1
Across an Angry Sea,,Cedric Delves,Audible,1
Act of Treason (The Mitch Rapp Series Book 7),,Vince Flynn,Kindle,1
Action Comics 840,,Geoff Johns,Physical,1
Adaptation,(Toy Soldiers Book 5),Devon C. Ford,Kindle,1
Adrian's Eagles (Life After War Book 2) Angela White,,,Kindle,1
AEON's War (#4),The Interplanetary Empire of Great Britain Series,Richard Toulouse,Kindle,1
"After The Ending (The Ending Series, #1)",A Post-Apocalyptic Romance,Lindsey Pogue,Kindle,1
After the Fall,(Surviving the EMP Book 2),Ryan Casey,Kindle,1
Afterlight,,Alex Scarrow,Kindle,1
Aftermath,(Toy Soldiers Book 2),Devon C. Ford,Kindle,1
Agent in Place (Gray Man Book 7),,Mark Greaney,Kindle,1
Agent of Time,A Time Travel Thriller (In Times Like These) Nathan,Van Coops,Kindle,1
Agent Running in the Field,A BBC 2 Between the Covers Book Club Pick John le,Carré,Kindle,1
Agent Sonya,From the bestselling author of The Spy and The Traitor,Ben Macintyre,Physical,1
Agent Zigzag,The True Wartime Story of Eddie Chapman: The Most Notorious Double Agent of World War II,Ben Macintyre,Physical,1
Agents of Influence,Britain's Secret Intelligence War Against the IRA,Aaron Edwards,Kindle,1
Aggressor. Nick Stone Thriller 7,,Andy McNab,Kindle,1
Airliner Down,An Aviation Thriller (Jack Lamburt Vigilante Justice Thriller series),John Etzil,Kindle,1
"Alas, Babylon",,Pat Frank,Physical,1
ALFRED ADLER,Five Book Collection: What Life Could Mean to You; The Pattern of Life; The Science of Living; Th...,Alfred Adler,Kindle,1
Algorithms to Live By,The Computer Science of Human Decisions,Brian Christian; Tom Griffiths,Audible,1
Alien Clay,,Adrian Tchaikovsky,Kindle,1
All Saints' Secrets (Saints Mustery Series Rook 2),,Nicole Loughan,Kindle,1
All Systems Red,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
All These Worlds,"Bobiverse, Book 3",Dennis E. Taylor,Audible,1
All These Worlds (Bobiverse Book 3),,Dennis Taylor,Kindle,1
ALPHA,A Black Flagged Thriller (The Black Flagged Series Book 1),Steven Konkoly,Kindle,1
Already Gone (A Laura Frost FBI Suspense Thriller-Book 1),,Blake Pierce,Kindle,1
Already Guilty,A C.T. Ferguson Private Investigator Mystery (The C.T. Ferguson Mystery Novels Book 4),Tom Fowler,Kindle,1
Altar of Resistance (World War Two Series Book 2),,Samuel Marquis,Kindle,1
Altered Carbon,Netflix Altered Carbon book 1 (Takeshi Kovacs),Richard Morgan,Kindle,1
America's Trust,,Murray McDonald,Kindle,1
American Assassin,(The Mitch Rapp Series),Vince Flynn,Kindle,1
American Housewife,,Helen Ellis,Kindle,1
American Kill Switch,(A novel of the End of Days: a cyberwar apocalypse),John Birmingham,Kindle,1
Among You,The Extraordinary True Story of a Soldier Broken by War,Jake Wood,Kindle,1
An Information Security Handbook (Computer Communications and Networks),,John M. Hunter,Physical,1
An Ordinary Soldier,,Doug Beattie,Physical,1
Anatomy for Runners,"Unlocking Your Athletic Potential for Health, Speed, and Injury Prevention",Jay Dicharry,Kindle,1
Ancillary Justice,"THE HUGO, NEBULA AND ARTHUR C. CLARKE AWARD WINNER (Imperial Radch Book 1)",Ann Leckie,Kindle,1
Andorra (After it Happened Book 7),,Devon C. Ford,Kindle,1
Angel With A Bullet (Dixie Flynn Mystery Series Book 1),,M.C. Grant,Kindle,1
Animal Farm,60th Anniversary edition,George Orwell,Physical,1
Annihilation,(Toy Soldiers Book Six),Devon C. Ford,Kindle,1
"Another Time, Another Place (Chronicles of St. Mary's Book 12)",,Jodi Taylor,Kindle,1
Any Job Will Do,A Space Opera Adventure (The Grand Human Empire Book 1),John Wilker,Kindle,1
Any Means Necessary Jack Mars 2 march 2016,,,Kindle,1
Anything You Want,40 Lessons for a New Kind of Entrepreneur,Derek Sivers,Kindle,1
Apache Dawn,Book I of the Wildfire Saga,Marcus Richardson,Kindle,1
APEX,A Black Flagged Thriller (The Black Flagged Series Book 3),Steven Konkoly,Kindle,1
Apex (The Nexus Trilogy Book 3),,Ramez Naam,Kindle,1
Apocalvose Roads,Book 2 Angela White,,Kindle,1
Apocalypse,A Zombie Survival Thriller (Toy Soldiers Book 1),Devon C. Ford,Kindle,1
ARC (New Earth Book 1),,Devon C. Ford,Kindle,1
Arc 1.1,"The Future Always Wins Paul Graham Raven, China Miéville, Alastair Reynolds, Hannu Rajaniemi, M.John Harrison, Stephen Baxter, Margaret Atwood, Sumit Paul-Choudhury,",,Kindle,1
"Arc 1.2 Post human conditions Nick Harkaway, Jeff VanderMeer, Frederik Pohl, Paul McAuley, T. D. Edge, P. D. Smith, Holly Gramazio, Anne Galloway, Sumit Paul-Choudhury,",,Simon,Kindle,1
Arc 1.3,"Afterparty Overdrive Nan Craig, David Gullen, Lavie Tidhar, Neal Stephenson, David Binder, Christina Agapakis, Samuel Arbesman, Tim Maughan, Sumit Paul-Choudhury,",,Kindle,1
Arc 1.4,"Forever alone drone Frank Swain, Madeline Ashby, Jack Womack, Bruce Sterling, Liz Jensen, Robert Reed, Kim",Stanley Robinson,Kindle,1
Are We Nearly There Yet?,"A Family's 8,000-Mile Car Journey Around Britain",Ben Hatch,Kindle,1
Areté,Activate Your Heroic Potential,Brian Johnson,"Kindle, Audible",2
"ARISEN, Box Set - Books 1-4| Glynn James, Michael",,Stephen Fuchs,Kindle,1
Ark,,Stephen Baxter,Kindle,1
Ark (Forward collection),(forward Collection) AMAZON ONLY,Veronica Roth,Kindle,1
Ark Angel (Alex Rider) (Bk. 6),,Anthony Horowitz,Physical,1
Armada,,Ernest Cline,Kindle,1
Artificial Condition,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
As a Man Thinketh,,James Allen,"Kindle, Audible",2
As We Know It,,Raimo Strangis,Audible,1
As We Think,"James Allen's Guide to the Power of Thought (PhilosoComics Book 2) Sam Torode, Alexander",Marchand,Kindle,1
Ash - A Thriller (Asher Benson Book 1),,Jason Brant,Kindle,1
Ashes of the Crown (#3),The Interplanetary Empire of Great Britain Series,Richard Toulouse,Kindle,1
Assert Yourself,A Self-help Assertiveness Programme for Men and Women,Gael Lindenfield,Physical,1
Assertiveness at Work,A Practical Guide to Handling Awkward Situations (Second Edition),Ken Back,Physical,1
AT LAST (An Alex Troutt Thriller Book 6) John W. Mettord 23 January 2020 Atomic Habits,The life-changing million-copy #1 bestseller,James Clear,Kindle,1
At Risk,(Liz Carlyle 1),Stella Rimington,Kindle,1
Atlanta Deathwatch (Hardman Book 1),,Ralph Dennis,Kindle,1
Atlantis Stolen (Sam Reilly Book 3),,Christopher Cartwright,Kindle,1
Atlas of Adventures,"A collection of natural wonders, exciting experiences and fun festivities from the four corners of the globe.",Lucy Letherland,Physical,1
Atomic Habits,the life-changing million-copy #1 bestseller,James Clear,"Physical, Audible",2
Attorney at Large,a page-turning legal thriller with twists you won't see coming. (Thaddeus Murfee Legal Thriller Serie...,John Ellsworth,Kindle,1
Attract + Convert,The Business Basics for Freelance Marketers,Rich Ux,Kindle,1
Aurora,,Kim Stanley Robinson,Kindle,1
Avogadro Corp,The Singularity Is Closer Than It Appears (Singularity Series Book 1),William Hertling,Kindle,1
Ax (87th Precinct Book 18),,Ed McBain,Kindle,1
B is for Burglar,A Kinsey Millhone Mystery (Kinsey Millhone Alphabet series Book 2),Sue Grafton,Kindle,1
Babylon's Ashes,Book 6 of the Expanse,James S.A. Corey,Kindle,1
Back Blast (#5),(Grey Man Series),Mark Greaney,Kindle,1
Back to Basics,A Complete Guide to Traditional Skills (Back to Basics Guides),Abigail Gehring,Physical,1
Bad Actors,The Instant #1 Sunday Times Bestseller,Mick Herron,Kindle,1
Bad Karma (The Criminally Insane Series Book 1),,Douglas Clegg,Kindle,1
"Bad Luck And Trouble (Jack Reacher, Book 11)",,Lee Child,Kindle,1
Ballistic,Gray Man Series,Mark Greaney,Kindle,1
Baltic Black Ops,An Action-Packed Spider Shepherd SAS Novel (Spider Shepherd: SAS Book 5),Stephen Leather,Kindle,1
Barefoot Running Step by Step,"Barefoot Ken Bob, the Guru of Shoeless Running, Shares His Personal Technique for Running with More Speed, Less Impact, Fewer Injuries and More Fun",Roy M. Wallack,Physical,1
Barefoot Soldier,A Story of Extreme Valour,beharry VC Johnson,Physical,1
Batman,,AJ Lieberman,Physical,1
Batman,Arkham Asylum Anniversary Edition,Grant Morrison,Physical,1
Batman,Dark Knight Returns,Frank Miller,Physical,1
Batman,Dark Victory,Jeph Loeb,Physical,1
Batman,Hush: v. 2,Jeph Loeb,Physical,1
Batman,Long Halloween (Batman),Jeph Loeb; Tim Sale,Physical,1
Batman,The Dark Knight Strikes Again,Frank Miller,Physical,1
Batman,The Killing Joke (Deluxe Edition),Alan Moore,Physical,1
Batman,v. 2,Jeph Loeb,Physical,1
Batman,Year One,Frank Miller,Physical,1
Battle Earth Nick s.,,Thomas,Kindle,1
Be Mine (Tom Reed Series Book 5),,Rick Mofina,Kindle,1
Be More Human,"How to transform your lifestyle for optimum health, happiness and vitality",Tony Riddle,Kindle,1
Be PARA Fit,The 4-Week Formula for Elite Physical Fitness,Sam McGrath,Physical,1
Bear Head,,Adrian Tchaikovsky,Audible,1
Becoming a Barbarian,,Jack Donovan,Physical,1
Becoming Bulletproof,Life Lessons from a Secret Service Agent,Evy Poumpouras,"Kindle, Audible",2
BEFORE HE KILLS AGAIN,(Detective Cassie Rowan Book 1),MARGARET MURPHY,Kindle,1
Before He Sees (A Mackenzie White Mystery-Book 2),,Blake Pierce,Kindle,1
Behind the Mask,Winner of the Telegraph Sports Book of the Year,Tyson Fury,Kindle,1
Berlin,The Downfall 1945,Antony Beevor,Physical,1
Betrayal,,Tim Tigner,Kindle,1
Beyond a Reasonable Death,A page-turning legal thriller (Thaddeus Murfee Legal Thriller Series Book 2),John Ellsworth,Kindle,1
Beyond Evidence (Patrick McLaughlin Book 1) Emma,,L Clapperton,Kindle,1
Beyond Good and Evil (Penguin Classics),,Friedrich Nietzsche,Physical,1
Beyond The Law,Formation,Tom Benson,Kindle,1
beyond thoughts,(Beyond Suffering Book 2) | Joseph Nguyen,Joseph Nguyen,Kindle,1
Big Numbers Austin Carr Mystery Book 1),,Jack Getze,Kindle,1
Birthday Girl (Stephen Leather Novels Book 6),,Stephen Leather,Kindle,1
Bishop's Honor,A Post-Apocalyptic Survival Thriller Series (Surrender the Sun Book 1),A. R. Shaw,Kindle,1
Bitter Roots,Police Procedural Mysteries,C. J. Carmichael,Kindle,1
Black Box Thinking,"The Surprising Truth About Success Matthew Syed, Matthew Syed",Consulting Ltd,Kindle,1
Black Hole Focus,How intelligent People Can Create a Powerful Purpose for Their Lives,Isaiah Hankel,Kindle,1
Black Ops,"Expeditionary Force, Book 4",Craig Alanson,Audible,1
Black Ops (Expeditionary Force Book 4),,Craig Alanson,Kindle,1
Black Sands,,Carl Goodman,Kindle,1
Black Violet (A Michael Violet Thriller Book 1),,Alex Hyland,Kindle,1
"Blackest Night. Geoff Johns, Writer",,Geoff Johns,Physical,1
Blackhawks #2,,Mike Costa,Physical,1
Blackstone's Preparing for Police Duty,,Phil Hardy,Physical,1
Blind Run Patricia Lewin 11 September 2017 Alexa,Funniest Things To Ask Alexa,Jeff Thompson,Kindle,1
Blindsided (A Thriller),,Jay Giles,Kindle,1
Blood and Justice,A Private Investigator Serial Killer Mystery (A Jake & Annie Lincoln Thriller Book 1),Rayven T. Hill,Kindle,1
Blood Bath,Seven Jack Nightingale Short Stories (Jack Nightingale short story Book 2),Stephen Leather,Kindle,1
Blood Line,A Granger Spy Novel,John J. Davis,Kindle,1
Bloody Heroes,,Damien Lewis,Kindle,1
Blowback,,Chalmers Johnson,Physical,1
Blue Fire (The Misadventures of Max Bowman Book 2),,Joel Canfield,Kindle,1
Blue Mars (Mars Trilogy Book 3) Kim,,Stanley Robinson,Kindle,1
Blue Molly (Danny Logan Mystery #5),,M.v. Grayson,Kindle,1
Bode's Deadbone Erotica Vol. 2,,Vaughn Bodé,Physical,1
Bode's Erotica,v. 3,Vaughn Bodé,Physical,1
Bone Pit (The Gina Mazzio Series Book 3) Bette Golden,,Lamb,Kindle,1
Borderline (Lassiter/Martinez Case Files Book 1),,Joseph Badal,Kindle,1
Born to Fight (A Post-Apocalyptic EMP Thriller),,Jay J. Falconer,Kindle,1
Boundaries = Freedom,(Beyond Suffering Book 3),Joseph Nguyen,Kindle,1
BOX 88,"From the Top 10 Sunday Times best selling author comes a new spy action crime thriller (BOX 88, Book 1)",Charles Cumming,Kindle,1
Brainrush (Brainrush Series Book 1),,Richard Bard,Kindle,1
"Brass Monkey (A James Acton Thriller, Book #2) (James Acton Thrillers) J",,Robert Kennedy,Kindle,1
Brave New War,The Next Stage of Terrorism and the End of Globalization,John Robb,Physical,1
Brave New World,,Aldous Introduction by David Bradshaw Huxley,Physical,1
Break Point,SAS: Who Dares Wins Host's Incredible True Story,Ollie Ollerton,Kindle,1
Breaking Cover,A Liz Carlyle Novel (Liz Carlyle Novels Book 9),Stella Rimington,Kindle,1
Breakthrough,,Michael C. Grumley,Kindle,1
Brian Helsing,The World's Unlikeliest Vampire Hunter: Mission #1: Just Try Not To Die Gareth,K Pengelly,Kindle,1
Brilliance (The Brilliance Trilogy Book 1),,Marcus Sakey,Kindle,1
Brilliant NLP,"What the most successful people know, do and say (Brilliant Business)",David Molden,Physical,1
Bring Me The Head Of The Taskmaster,,Alex Horne,Physical,1
Broadway Books The Martian (Mass Market MTI),A Novel,Andy Weir,Physical,1
Broken Angels,Netflix Altered Carbon book 2 (Takeshi Kovacs),Richard Morgan,Kindle,1
"Broken Dove (A James Acton Thriller, Book #3) (James Acton Thrillers) J.",,Robert Kennedy,Kindle,1
Brute Force,(Nick Stone Thriller 11),Andy McNab,Kindle,1
Building a Second Brain,,,Physical,1
Building Better Work Relationships (Essential Book 4),A Practical Guide,Sorin Dumitrascu,Kindle,1
Building Empires (MidKnight Blue Book 1),,Sherryl Hancock,Kindle,1
"BUM RAP (Lassiter, Solomon & Lord Legal Thrillers Book 1) PAUL LEVINE",,,Kindle,1
Burial Ground,A Novel,Michael McBride,Kindle,1
Burned (Shenandoah Shadows Book 1),,Melissa F. Miller,Kindle,1
Business Etiquette,A Practical Guide,Sorin Dumitrascu,Kindle,1
Business Notes,Writing Personal Notes That Build Professional Relationships,Florence Isaacs,Physical,1
Business Without the Bullsh*t,49 Secrets and Shortcuts You Need to Know,Geoffrey James,Physical,1
Butcher Rising,(Book Two of The After War Series),Brandon Vonner,Kindle,1
Butcher Rising,(Book Two of The After War Series),Brandon Lenner,Kindle,1
C is for Corpse (Kinsey Millhone Alphabet series Book 3),,Sue Grafton,Kindle,1
C. Q. B,Close Quarter Battle,Mike Curtis,Physical,1
Cage of Souls,Shortlisted for the Arthur C. Clarke Award 2020,Adrian Tchaikovsky,Kindle,1
"Cal Rogan Mysteries, Books 4, 5 & 6 (Box Set)",,Robert P. French,Kindle,1
Caliban's War,Book 2 of the Expanse (now a Prime Oriqinal series)| James s.,A. Corey,Kindle,1
Callings,The Purpose and Passion of Work (A StoryCorps Book),Dave Isay,Physical,1
Can't Hurt Me,Master Your Mind and Defy the Odds,David Goggins,"Kindle, Audible",2
Capitol break. A Chris collins Thriller,,David F. Berens,Kindle,1
Captive State,The Corporate Takeover of Britain,George Monbiot,Physical,1
CareerKred,4 Simple Steps to Build Your Digital Brand and Boost Credibility in Your Career,Ryan Rhoten,Kindle,1
Cargo,A Leine Basso Thriller,D.V. Berkom,Kindle,1
Carl's Doomsday Scenario,Dungeon Crawler Carl Book 2,Matt Dinniman,"Kindle, Audible",2
Casket Girls,A New Orleans Mystery Thriller (Herbert and Melancon Book 4),Seth Pevey,Kindle,1
Catch 22,,Joseph Heller,Audible,1
Catching Fire (The Hunger Games 2),,Suzanne Collins,Kindle,1
Cause of Death (The Time Bubble Series Book 12),,Jason Ayres,Kindle,1
Cause to Kill (An Avery Black Mystery-Book 1),,Riake Pierro,Kindle,1
CC Certified in Cybersecurity,All-in-One Exam Guide,Steven Bennett,Kindle,1
"CCNA INTRO Exam Certification Guide (CCNA Self-Study, 640-821, 640-801)",,Wendell Odom,Physical,1
Ccna Portable Command Guide,,Scott D. Empson,Physical,1
Certain Justice (A Marc Kadella Legal Mystery Book 4),,Dennis Carstens,Kindle,1
Chameleon,A City of London Thriller J,Jackson Bentley,Kindle,1
"Change, bring it on!",,Keely Nugent,Kindle,1
Chaser (Jack Daniels Book 18) J.A. Konrath,,,Kindle,1
"Chasing Ivan. (Kyle Achilles, Prequel Novella) Tim Tigner 25 march 2016",,,Kindle,1
Cheech Wizard Vol 2 TP,,Vaughn Bodé,Physical,1
CHICKENHAWK,,Robert Mason,"Physical, Kindle",2
Children of Memory,(The Children of Time Novels Book 3),Adrian Tchaikovsky,Kindle,1
Children of Ruin,"Children of Time, Book 2",Adrian Tchaikovsky,Audible,1
Children of Time,"Children of Time, Book 1",Adrian Tchaikovsky,Audible,1
Chinese Takeout Cookbook,Favorite Chinese Takeout Recipes to Make at Home,Lina Chang,Kindle,1
Chirunning,"A Revolutionary Approach to Effortless, Injury-Free Running",Danny Dreyer,Physical,1
Choice of Weapon - An Action Adventure Thriller,A Garrett Storm Thriller (Garrett & Petrus Action Packed Thrillers Boo...,C Marten-Zerf,Kindle,1
Choose Yourself!,,James Altucher,Kindle,1
Chris Ryan Extreme,Night Strike: The second book in the gritty Extreme series,Chris Ryan,Kindle,1
Cibola Burn,Book 4 of the Expanse (now a Prime Original series),James S. A. Corey,Kindle,1
City Atlas,Discover the Personality of the World's Best-Loved Cities in This Illustrated Book of Maps,Martin Haake,Physical,1
Class of '92 (The Time Bubble Series Book 5),,Jason Ayres,Kindle,1
Clean Kill (Bloodline Book 1),,Adam Nicholls,Kindle,1
Clear and Present Danger,A classic Jack Ryan thriller from international bestseller Tom Clancy,Tom Clancy,Kindle,1
Close Call,A Liz Carlyle Novel (Liz Carlyle Novels Book 8),Stella Rimington,Kindle,1
Close Your Eyes,A Suspenseful Thriller (Martin Rhodes Book 1),Thomas Fincham,Kindle,1
Closing Time,,Joseph Heller,Physical,1
Closing Time (The Time Bubble Series Book 15),,Jason Ayres,Kindle,1
Closure,A Vigilante Justice FBI Thriller (Jack Randall Book 1),Randall Wood,Kindle,1
Clown Town,The Thriller for Our Chaotic Times (Slough House Thriller 9),Mick Herron,Kindle,1
Coastal Fury Boxset (1-3),,Matt Lincoln,Kindle,1
Code Name,"Camelot - An Action Thriller Novel (A Noah Wolf Novel, Thriller, Action, Mystery Book 1)",David Archer,Kindle,1
Code Name,MK-ULTRA: A CIA Cold War Spy Thriller,R.A. Harris,Kindle,1
Cold Blood,(Nick Stone Thriller 18),Andy McNab,Kindle,1
Cold Blood (John Jordan Mysteries Book 12),,Michael Lister,Kindle,1
Cold Blooded,A Thriller,Matt Cairns,Kindle,1
Cold Kill,The Third Spider Shepherd Thriller,Stephen Leather,Kindle,1
Cold Press,A Gripping British Mystery Thriller - Anna Burgin Book 1 (Anna Burgin British Mystery Thrillers),David Bradwell,Kindle,1
"Cold Solar - A Dark and Gritty Sci-Fi Action Thriller (The Inner Solar War Book 1)| Anthony Robinson, M",,Robinson M.S.,Kindle,1
Cold War Navy SEAL,"My Story of Che Guevara, War in the Congo, and the Communist Threat in Africa",James M. Hawes,Kindle,1
Colditz,Prisoners of the Castle,Ben Macintyre,Physical,1
Collapse,How Societies Choose to Fail or Survive,Jared Diamond,Kindle,1
Collapse (#1),The Interplanetary Empire of Great Britain Series,Richard Toulouse,Kindle,1
collins complete d i y manual,,Albert Jackson; David Day,Physical,1
Collins Complete DIY Manual,,Albert Jackson,Physical,1
Collins Spanish School Dictionary,,Mike Gonzalez,Physical,1
Color of Blood (A Dennis Cunningham thriller Book 1),,Keith Yocum,Kindle,1
